Tipo,Ha_sembrada,Ha_cosechada,Toneladas
Arroz,22610.31,22256.18,134524.39
Calabaza,75224.85,60572.68,733230.58
Cebolla,35746.09,34495.04,1049679.94
Chile,118745.12,114497.67,1646285.46
Frijol,1912605.11,1793165.19,1308277.91
Jitomate (tomate rojo),24334.59,22778,1177205.24
Maiz amarillo,1502325.42,1434386.52,8071836.77
Maiz blanco,6946999.22,6107534.99,23142193.13
Maiz forrajero y sorgo forrajero,2093628.85,1882191.19,0
Melon,13070.87,12755.27,0
Sandia,27756.48,25433.9,0
Sorgo grano,2175098.73,2040215.42,0
Soya,147675.44,143701.06,261247.35
Trigo grano,640580.25,620162.71,3214047.08
Aguacate,128839.98,115556.11,0
Alfalfa,382194.57,375261.1,0
Cacao,79723.3,76779.59,45376.84
Cafe,834323.44,677427.58,858031.56
Cana de azucar ,824747.46,791794.28,56354945.11
Fresa,5691.99,5543.85,97054.99
Limon,160796.05,135488.64,1110744.69
Mango,233352.27,209779.54,1689808.73
Manzana,28922.73,26501.07,220722.05
Naranja,395842.89,352518.59,2869737.33
Platano,103147.8,99422.63,2220400.48
Uva,28886.4,25934.68,317447.82
